Position,Force,Speed
-3.661999941,0.579999983,-7.570000172
-30.02899933,3.319999933,0.230000004
-29.0529995,3.650000095,-0.059999999
30.02899933,7.739999771,-0.720000029
29.0529995,15.73999977,1.559999943
-31.98200035,13,2.029999971
-90.81900024,6.550000191,2.160000086
-156.2489929,4.369999886,4.650000095
-217.2839966,3.299999952,6.429999828
-274.1690063,2.549999952,7.989999771
-342.0400085,1.909999967,9.659999847
-393.5539856,1.440000057,10.92000008
-450.1940002,1.139999986,11.92000008
-515.1359863,0.680000007,12.35999966
-571.776001,0.430000007,13.06999969
-630.6140137,0.150000006,13.64000034
-699.7059937,-0.159999996,13.55000019
-753.1729736,-0.419999987,13.48999977
-817.6259766,-0.689999998,13.28999996
-872.5579834,-0.879999995,13.53999996
-942.6259766,-1.00999999,13.72000027
-993.651001,-1.129999995,13.18000031
-1050.047974,-1.309999943,12.47999954
-1116.942017,-1.49000001,11.73999977
-1175.047974,-1.639999986,10.69999981
-1236.083008,-1.75999999,9.68999958
-1292.234985,-1.929999948,8.720000267
-1354.734985,-2.039999962,8.340000153
-1414.793945,-2.130000114,8.529999733
-1473.631958,-2.200000048,7.670000076
-1534.911011,-2.279999971,7.210000038
-1595.946045,-2.349999905,6.880000114
-1653.074951,-2.380000114,6.420000076
-1710.203979,-2.430000067,5.53000021
-1771.239014,-2.50999999,5.210000038
-1833.494995,-2.549999952,4.230000019
-1829.833008,-2.599999905,-1.970000029
-1766.112061,-2.569999933,-4.170000076
-1703.124023,-2.630000114,-5.650000095
-1644.774048,-2.630000114,-6.639999866
-1586.668945,-2.609999895,-7.610000134
-1522.947998,-2.619999886,-8.390000343
-1469.480957,-2.630000114,-8.609999657
-1401.854004,-2.589999914,-9.279999733
-1348.631958,-2.640000105,-9.659999847
-1289.062012,-2.609999895,-9.789999962
-1221.435059,-2.660000086,-9.760000229
-1163.328979,-2.619999886,-9.819999695
-1098.387939,-2.670000076,-10.35000038
-1043.699951,-2.609999895,-10.51000023
-985.1060181,-2.619999886,-10.03999996
-922.8510132,-2.599999905,-10.32999992
-860.8389893,-2.680000067,-11.14000034
-808.1040039,-2.630000114,-10.78999996
-748.289978,-2.660000086,-10.5
-686.5219727,-2.609999895,-10.34000015
-625.4869995,-2.609999895,-10.35000038
-560.5460205,-2.630000114,-10.68999958
-507.8120117,-2.670000076,-10.39999962
-445.5559998,-2.609999895,-9.720000267
-386.230011,-2.609999895,-9.960000038
-329.8330078,-2.599999905,-9.479999542
-267.0889893,-2.650000095,-8.5
-209.4720001,-2.619999886,-7.71999979
-143.3099976,-2.660000086,-6.920000076
-88.3789978,-2.640000105,-6.539999962
-90.33100128,-2.380000114,0.689999998
-150.878006,-2.470000029,2.549999952
-212.401001,-2.579999924,3.390000105
-270.5069885,-2.619999886,4.079999924
-334.9599915,-2.599999905,5.21999979
-395.5069885,-2.640000105,6.269999981
-456.7860107,-2.619999886,7.099999905
-514.8920288,-2.680000067,7.71999979
-580.3209839,-2.690000057,8.640000343
-639.4030151,-2.680000067,9.220000267
-696.2880249,-2.660000086,9.329999924
-752.6849976,-2.660000086,9.430000305
-811.0339966,-2.730000019,9.489999771
-872.5579834,-2.670000076,9.960000038
-937.742981,-2.650000095,10.30000019
-997.802002,-2.710000038,10.05000019
-1054.197998,-2.720000029,9.890000343
-1114.500977,-2.720000029,9.869999886
-1175.047974,-2.700000048,9.199999809
-1232.665039,-2.680000067,8.630000114
-1294.187988,-2.660000086,8.130000114
-1353.515015,-2.75,7.679999828
-1413.817017,-2.710000038,7.679999828
-1471.189941,-2.74000001,6.539999962
-1530.760986,-2.720000029,5.070000172
-1590.331055,-2.720000029,3.549999952
-1588.865967,-2.890000105,-1.480000019
-1528.562988,-2.869999886,-2.329999924
-1469.480957,-2.940000057,-1.25
-1470.702026,-3.869999886,0.330000013
-1531.005005,-4.130000114,2.309999943
-1592.527954,-4.179999828,3.349999905
-1653.074951,-4.289999962,3.690000057
-1710.203979,-4.269999981,3.869999886
-1770.994995,-4.400000095,4.230000019
-1830.564941,-4.420000076,4.650000095
-1892.821045,-4.400000095,4.940000057
-1952.391968,-4.440000057,4.440000057
-2012.69397,-4.440000057,3.450000048
